"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2018","48.10","49.04","53.30","46.43","479.35M","-3.24%"
"06/01/2018","49.71","55.84","57.60","48.50","638.34M","-9.95%"
"05/01/2018","55.20","51.64","56.20","51.00","486.32M","6.94%"
"04/01/2018","51.62","51.69","55.79","47.29","666.83M","-0.88%"
"03/01/2018","52.08","49.50","53.78","46.96","710.90M","5.66%"
"02/01/2018","49.29","47.69","50.90","42.04","608.49M","2.39%"
"01/01/2018","48.14","46.38","50.85","42.44","910.04M","4.29%"
"12/01/2017","46.16","44.73","47.64","42.67","559.76M","2.94%"
"11/01/2017","44.84","45.97","47.30","43.77","579.91M","-1.43%"
"10/01/2017","45.49","38.12","45.80","38.08","633.39M","19.46%"
"09/01/2017","38.08","35.24","38.15","34.93","432.48M","8.58%"
"08/01/2017","35.07","35.66","36.70","34.38","497.30M","-1.13%"
"07/01/2017","35.47","33.51","35.86","33.23","440.86M","5.13%"
"06/01/2017","33.74","36.12","36.57","33.34","499.46M","-6.56%"
"05/01/2017","36.11","36.11","37.17","35.02","433.15M","-0.11%"
"04/01/2017","36.15","36.19","37.50","35.21","444.12M","0.22%"
"03/01/2017","36.07","35.85","36.29","34.66","546.15M","-0.36%"
"02/01/2017","36.20","36.82","36.95","34.84","477.55M","-1.68%"
"01/01/2017","36.82","36.61","38.45","36.19","456.42M","1.52%"
"12/01/2016","36.27","34.86","37.35","33.56","405.91M","4.52%"
"11/01/2016","34.70","34.90","35.66","33.42","412.45M","-0.49%"
"10/01/2016","34.87","37.69","38.36","34.71","471.65M","-7.63%"
"09/01/2016","37.75","35.99","38.05","35.06","506.50M","5.18%"
"08/01/2016","35.89","34.82","35.90","33.99","390.89M","2.95%"
"07/01/2016","34.86","32.64","35.93","32.38","530.53M","6.28%"
"06/01/2016","32.80","31.62","33.00","30.44","485.38M","3.83%"
"05/01/2016","31.59","30.45","31.65","29.50","431.59M","4.33%"
"04/01/2016","30.28","32.27","32.47","30.10","515.84M","-6.40%"
"03/01/2016","32.35","29.93","32.75","29.75","471.98M","9.33%"
"02/01/2016","29.59","30.72","31.12","27.68","526.51M","-4.61%"
"01/01/2016","31.02","33.88","34.01","29.21","615.46M","-9.96%"
"12/01/2015","34.45","35.00","35.59","33.81","427.84M","-0.92%"
"11/01/2015","34.77","33.73","35.29","31.93","459.87M","2.69%"
"10/01/2015","33.86","30.21","35.03","29.46","704.01M","12.34%"
"09/01/2015","30.14","27.91","30.32","27.66","680.89M","5.61%"
"08/01/2015","28.54","29.00","29.68","24.87","706.46M","-1.42%"
"07/01/2015","28.95","30.49","30.92","27.62","829.69M","-4.82%"
"06/01/2015","30.42","34.37","34.59","30.15","701.95M","-11.74%"
"05/01/2015","34.46","32.63","34.75","31.93","498.67M","5.87%"
"04/01/2015","32.55","31.13","33.04","30.45","568.14M","4.09%"
"03/01/2015","31.27","33.29","34.50","29.31","910.69M","-5.95%"
"02/01/2015","33.25","33.06","34.75","32.61","456.58M","0.64%"
"01/01/2015","33.04","36.67","37.49","33.00","689.89M","-8.96%"
"12/01/2014","36.29","37.21","37.90","35.33","600.09M","-2.58%"
"11/01/2014","37.25","33.81","37.69","33.00","562.63M","9.53%"
"10/01/2014","34.01","34.61","34.78","29.65","894.74M","-2.33%"
"09/01/2014","34.82","34.76","35.56","33.63","558.14M","-0.29%"
"08/01/2014","34.92","33.75","35.20","32.39","593.37M","3.04%"
"07/01/2014","33.89","30.99","34.83","30.44","835.89M","9.68%"
"06/01/2014","30.90","27.31","31.00","27.12","761.38M","13.10%"
"05/01/2014","27.32","26.51","27.32","25.74","491.95M","2.36%"
"04/01/2014","26.69","25.80","27.24","25.64","735.64M","3.39%"
"03/01/2014","25.81","24.55","26.06","24.30","587.40M","4.26%"
"02/01/2014","24.76","24.50","24.98","23.50","511.51M","0.90%"
"01/01/2014","24.54","25.78","27.12","24.40","839.53M","-5.45%"
"12/01/2013","25.95","24.00","26.04","23.40","614.58M","8.87%"
"11/01/2013","23.84","24.51","25.29","23.50","591.61M","-2.57%"
"10/01/2013","24.47","22.94","24.73","22.48","798.01M","6.76%"
"09/01/2013","22.92","22.21","24.08","21.97","645.76M","4.28%"
"08/01/2013","21.98","23.41","23.49","21.89","649.03M","-5.81%"
"07/01/2013","23.33","24.35","24.43","22.63","1.02B","-3.69%"
"06/01/2013","24.23","24.88","25.98","23.41","870.66M","-0.21%"
"05/01/2013","24.28","23.82","24.71","23.58","740.12M","1.38%"
"04/01/2013","23.95","21.67","24.00","20.75","1.25B","9.69%"
"03/01/2013","21.83","20.79","22.04","20.66","755.88M","4.57%"
"02/01/2013","20.88","21.19","21.38","20.10","702.52M","-0.76%"
"01/01/2013","21.04","21.15","23.06","20.88","1.22B","2.04%"
"12/01/2012","20.62","19.88","21.31","19.50","805.74M","5.39%"
"11/01/2012","19.57","21.76","22.54","19.23","1.16B","-9.55%"
"10/01/2012","21.63","22.75","23.17","21.22","1.12B","-4.52%"
"09/01/2012","22.66","25.03","25.10","22.48","933.30M","-8.76%"
"08/01/2012","24.83","25.83","26.90","24.15","753.76M","-3.39%"
"07/01/2012","25.70","26.51","26.86","24.68","767.82M","-3.56%"
"06/01/2012","26.65","25.40","27.75","24.84","789.56M","3.13%"
"05/01/2012","25.84","28.47","29.27","24.92","872.62M","-9.00%"
"04/01/2012","28.40","28.04","28.78","27.24","747.92M","1.00%"
"03/01/2012","28.11","27.06","28.45","26.20","726.61M","4.59%"
"02/01/2012","26.88","26.74","27.50","26.35","783.05M","1.74%"
"01/01/2012","26.42","24.62","27.00","24.39","1.12B","8.95%"
"12/01/2011","24.25","24.87","25.78","23.05","987.73M","-2.65%"
"11/01/2011","24.91","24.11","25.50","22.51","1.14B","1.51%"
"10/01/2011","24.54","21.18","25.20","20.40","1.52B","15.02%"
"09/01/2011","21.33","20.28","22.98","19.16","1.34B","5.99%"
"08/01/2011","20.13","22.57","22.69","19.16","1.55B","-9.85%"
"07/01/2011","22.33","22.21","23.39","22.08","945.36M","0.77%"
"06/01/2011","22.16","22.45","22.48","21.00","1.18B","-1.55%"
"05/01/2011","22.51","23.02","23.96","22.11","1.58B","-2.76%"
"04/01/2011","23.15","20.38","23.19","19.36","1.45B","14.72%"
"03/01/2011","20.18","21.61","22.08","19.71","1.33B","-6.01%"
"02/01/2011","21.47","21.49","22.21","21.01","1.00B","0.05%"
"01/01/2011","21.46","21.01","21.94","20.27","1.45B","2.04%"
"12/01/2010","21.03","21.46","22.07","20.65","921.77M","-0.60%"
